Conventional Produce,,,PLU
,,,
Apples,Empire,Bulk,1100
Apples,Empire,Bag,1111
Apples,Granny Smith,Bulk,1122
Apples,Granny Smith,Bag,1133
Apples,Fuji,Bulk,1144
Apples,Fuji,Bag,1155
Apples,Macintosh,Bulk,1166
Apples,Macintosh,Bag,1177
Asparagus,,,1188
Avocados,,,1199
Broccoli,,,1210
Brussels Sprouts,,,1221
Cabbage,Chinese,,1232
Cabbage,Green,,1243
Cabbage,Red,,1254
Carrots,,,1265
Cauliflower,,,1276
Celery,,,1287
Cherries,,,1298
Chestnuts,,,1309
Cilantro,,,1320
Cider,Half Gallon,,1331
Cider,Gallon,,1342
Cranberries,,,1353
Cucumbers,,,1364
Eggplant,,,1375
Garlic,,,1386
Ginger,,,1397
Grapefruit,,,1408
Grapes,,,1419
Lemons,,,1430
Lettuce,Leaf,,1441
Lettuce,Romaine,,1452
Limes,,,1463
Kiwi,,,1474
Melons,Cantaloupe,,1485
Melons,Honeydew,,1496
Melons,Watermelon,,1507
Mixed Nuts,,,1518
Mushrooms,,,1529
Mushrooms,Big,,1540
Nectarines,,,1551
Onions,Cooking,,1562
Onions,Green,,1573
Onions,Red,,1584
Onions,Spanish,,1595
Onions,Sweet,,1606
Onions,Vidalia,,1617
Onions,White,,1628
Oranges,Navel,Large,1639
Oranges,Navel,Small,1650
Oranges,Valencia,Large,1661
Oranges,Valencia,Small,1672
Parsley,,,1683
Peaches,,,1694
Peanuts,Salted,,1705
Peanuts,Unsalted,,1716
Pears,Bartlett,,1727
Pears,Bosc,,1738
Pears,D'Anjou,,1749
Peppers,Hot,,1760
Peppers,Green,,1771
Peppers,Red,,1782
Peppers,Yellow,,1793
Plantains,,,1804
Plums,Red,,1815
Plums,Black,,1826
Plums,Prune,,1837
Potatoes,Baking,,1848
Potatoes,New,,1859
Potatoes,Red,,1870
Potatoes,Regular,,1881
Potatoes,Sweet,,1892
Radishes,,,1903
Spinach,,,1914
Squash,Winter,,1925
Squash,Yellow,,1936
Squash,Zucchini,,1947
Strawberries,,,1958
Tangerine,,,1969
Tomatoes,Regular,,1980
Tomatoes,Roma,,1991
,,,
,,,
Local Produce,,,PLU
,,,
Apples,Cortland,,2100
Apples,Freedom,,2111
Apples,Liberty,,2122
Apples,Macintosh,,2133
Asparagus,,,2144
Beets,,,2155
Berries,Blackberries,,2166
Berries,Blueberries,,2177
Berries,Currants,,2188
Berries,Raspberriers,,2199
Berries,Strawberries,,2210
Broccoli,,,2221
Cabbage,Chinese,,2232
Cabbage,Green,,2243
Cabbage,Red,,2254
Carrots,,,2265
Cauliflower,,,2276
Cilantro,,,2287
Cucumbers,Pickling,,2298
Cucumbers,Slicing,,2309
Dill,Heads,,2320
Dill,Weed,,2331
Eggplant,,,2342
Fiddleheads,,,2353
Green Beans,,,2364
Garlic,,,2375
Greens,Beet,,2386
Greens,Chard,,2397
Greens,Collard,,2408
Greens,Escarole,,2419
Greens,Kale,,2430
Greens,Mixed,,2441
Greens,Mustard,,2452
Greens,Rapini,,2463
Greens,Turnip,,2474
Grapes,,,2485
Leeks,,,2496
Leeks,Wild,,2507
Lettuce,Leaf,,2518
Lettuce,Romaine,,2529
Melons,Cantaloupe,,2540
Melons,Watermelon,,2551
Onions,Cooking,,2562
Onions,Green,,2573
Onions,Red,,2584
Onions,Sweet,,2595
Onions,Shallots,,2606
Parsnips,,,2617
Parsley,,,2628
Pears,,,2639
Peppers,Hot Mix,,2650
Peppers,Green,,2661
Peppers,Red,,2672
Peppers,Special Sweet,,2683
Peppers,Yellow,,2694
Potatoes,Baking,,2705
Potatoes,Blue,,2716
Potatoes,Purple,,2727
Potatoes,Red,,2738
Potatoes,Sweet,,2749
Potatoes,Yukon Gold,,2760
Radishes,,,2771
Rhubarb,,,2782
RutaBaga,,,2793
Spinach,,,2804
Squash,Winter,Acorn,2815
Squash,Winter,Buttercup,2826
Squash,Winter,Butternut,2837
Squash,Winter,Carnival,2848
Squash,Winter,Dumpling,2859
Squash,Winter,Delicata,2870
Squash,Winter,Hubbard,2881
Squash,Winter,Mix,2892
Squash,Yellow,,2903
Squash,Zucchini,,2914
Tomatillo,,,2925
Tomatoes,Cherry,,2936
Tomatoes,Regular,,2947
Tomatoes,Plum,,2958
Turnips,,,2969
,,,
,,,
Organic Produce,,,PLU
,,,
Apples,Braeburn,Bulk,3100
Apples,Braeburn,Bag,3107
Apples,Cortland,Bulk,3114
Apples,Cortland,Bag,3121
Apples,Empire,Bulk,3128
Apples,Empire,Bag,3135
Apples,Fuji,Bulk,3142
Apples,Fuji,Bag,3149
Apples,Gala,Bulk,3156
Apples,Gala,Bag,3163
Apples,Granny Smith,Bulk,3170
Apples,Granny Smith,Bag,3177
Apples,Macintosh,Bulk,3184
Apples,Macintosh,Bag,3191
Apples,Pink Ladies,Bulk,3198
Apples,Pink Ladies,Bag,3205
Artichokes,,,3212
Avocados,,,3219
Bananas,,,3226
Beets,,,3233
Broccoli,,,3240
Brussels Sprouts,,,3247
Cabbage,Chinese,,3254
Cabbage,Green,,3261
Cabbage,Red,,3268
Carrots,Baby,Bag,3275
Carrots,Bulk,,3282
Carrots,Bag,,3289
Cauliflower,,,3296
Celery,,,3303
Cilantro,,,3310
Cucumbers,,,3317
Figs,,,3324
Garlic,Birdsfoot,,3331
Garlic,,,3338
Ginger,,,3345
Grapefruit,,,3352
Grapes,,,3359
Green Beans,,,3366
Greens,Beet,,3373
Greens,Chard,,3380
Greens,Collard,,3387
Greens,Escarole,,3394
Greens,Kale,,3401
Greens,Mixed,,3408
Greens,Mustard,,3415
Greens,Rapini,,3422
Greens,Turnip,,3429
Kiwi,Bulk,,3436
Kiwi,Bag,,3443
Kumquats,,,3450
Leeks,,,3457
Lemons,,,3464
Lettuce,Birdsfoot,,3471
Lettuce,Leaf,,3478
Lettuce,Romaine,,3485
Lettuce,Romaine Hearts,Bag,3492
Limes,,,3499
Mushrooms,Crimini,,3506
Mushrooms,Portabella,,3513
Mushrooms,Shiitake,,3520
Mushrooms,White,,3527
Nectarines,,,3534
Onions,Cooking,,3541
Onions,Green,,3548
Onions,Red,,3555
Onions,Sweet,,3562
Onions,Shallots,,3569
Onions,White,,3576
Oranges,Blood,,3583
Oranges,Clementine,,3590
Oranges,Hamelin,,3597
Oranges,Mandarin,,3604
