date,state,death,deathDelta
20200306,AK,0,
20200307,AK,0,0
20200308,AK,0,0
20200309,AK,0,0
20200310,AK,0,0
20200311,AK,0,0
20200312,AK,0,0
20200313,AK,0,0
20200314,AK,0,0
20200315,AK,0,0
20200316,AK,0,0
20200317,AK,0,0
20200318,AK,0,0
20200319,AK,0,0
20200320,AK,0,0
20200321,AK,0,0
20200322,AK,0,0
20200323,AK,0,0
20200324,AK,0,0
20200325,AK,1,1
20200326,AK,1,0
20200327,AK,1,0
20200328,AK,2,1
20200329,AK,2,0
20200330,AK,3,1
20200331,AK,3,0
20200401,AK,3,0
20200402,AK,3,0
20200403,AK,3,0
20200404,AK,5,2
20200405,AK,6,1
20200406,AK,6,0
20200407,AK,6,0
20200408,AK,7,1
20200409,AK,7,0
20200410,AK,7,0
20200411,AK,8,1
20200412,AK,8,0
20200413,AK,8,0
20200414,AK,9,1
20200415,AK,9,0
20200416,AK,9,0
20200417,AK,9,0
20200418,AK,9,0
20200419,AK,9,0
20200420,AK,9,0
20200421,AK,9,0
20200422,AK,9,0
20200423,AK,9,0
20200424,AK,9,0
20200425,AK,9,0
20200426,AK,9,0
20200427,AK,9,0
20200428,AK,9,0
20200429,AK,9,0
20200430,AK,9,0
20200501,AK,9,0
20200502,AK,9,0
20200503,AK,9,0
20200504,AK,9,0
20200505,AK,9,0
20200506,AK,10,1
20200507,AK,10,0
20200508,AK,10,0
20200509,AK,10,0
20200510,AK,10,0
20200511,AK,10,0
20200512,AK,10,0
20200513,AK,10,0
20200514,AK,10,0
20200515,AK,10,0
20200516,AK,10,0
20200517,AK,10,0
20200518,AK,10,0
20200519,AK,10,0
20200520,AK,10,0
20200521,AK,10,0
20200522,AK,10,0
20200523,AK,10,0
20200524,AK,10,0
20200525,AK,10,0
20200526,AK,10,0
20200527,AK,10,0
20200528,AK,10,0
20200529,AK,10,0
20200530,AK,10,0
20200531,AK,10,0
20200601,AK,10,0
20200602,AK,10,0
20200603,AK,10,0
20200604,AK,10,0
20200605,AK,10,0
20200606,AK,10,0
20200607,AK,10,0
20200608,AK,10,0
20200609,AK,11,1
20200610,AK,11,0
20200611,AK,11,0
20200612,AK,12,1
20200613,AK,12,0
20200614,AK,12,0
20200615,AK,12,0
20200616,AK,12,0
20200617,AK,12,0
20200618,AK,12,0
20200619,AK,12,0
20200620,AK,12,0
20200621,AK,12,0
20200622,AK,12,0
20200623,AK,12,0
20200624,AK,12,0
20200625,AK,12,0
20200626,AK,14,2
20200627,AK,14,0
20200628,AK,14,0
20200629,AK,14,0
20200630,AK,14,0
20200701,AK,14,0
20200702,AK,14,0
20200703,AK,15,1
20200704,AK,16,1
20200705,AK,16,0
20200706,AK,16,0
20200707,AK,17,1
20200708,AK,17,0
20200709,AK,17,0
20200710,AK,17,0
20200711,AK,17,0
20200712,AK,17,0
20200713,AK,17,0
20200714,AK,17,0
20200715,AK,17,0
20200716,AK,17,0
20200717,AK,17,0
20200718,AK,18,1
20200719,AK,18,0
20200720,AK,18,0
20200721,AK,18,0
20200722,AK,19,1
20200723,AK,19,0
20200724,AK,19,0
20200725,AK,20,1
20200726,AK,20,0
20200727,AK,21,1
20200728,AK,22,1
20200729,AK,22,0
20200730,AK,23,1
20200731,AK,23,0
20200801,AK,24,1
20200802,AK,24,0
20200803,AK,25,1
20200804,AK,25,0
20200805,AK,25,0
20200806,AK,25,0
20200307,AL,,-25
20200308,AL,,0
20200309,AL,,0
20200310,AL,,0
20200311,AL,,0
20200312,AL,,0
20200313,AL,,0
20200314,AL,,0
20200315,AL,0,0
20200316,AL,0,0
20200317,AL,0,0
20200318,AL,0,0
20200319,AL,0,0
20200320,AL,0,0
20200321,AL,0,0
20200322,AL,0,0
20200323,AL,0,0
20200324,AL,0,0
20200325,AL,0,0
20200326,AL,1,1
20200327,AL,3,2
20200328,AL,3,0
20200329,AL,4,1
20200330,AL,6,2
20200331,AL,13,7
20200401,AL,26,13
20200402,AL,32,6
20200403,AL,35,3
20200404,AL,43,8
20200405,AL,45,2
20200406,AL,50,5
20200407,AL,56,6
20200408,AL,66,10
20200409,AL,74,8
20200410,AL,80,6
20200411,AL,91,11
20200412,AL,93,2
20200413,AL,99,6
20200414,AL,110,11
20200415,AL,121,11
20200416,AL,133,12
20200417,AL,144,11
20200418,AL,146,2
20200419,AL,154,8
20200420,AL,167,13
20200421,AL,177,10
20200422,AL,194,17
20200423,AL,197,3
20200424,AL,197,0
20200425,AL,212,15
20200426,AL,216,4
20200427,AL,222,6
20200428,AL,242,20
20200429,AL,245,3
20200430,AL,269,24
20200501,AL,279,10
20200502,AL,288,9
20200503,AL,290,2
20200504,AL,296,6
20200505,AL,313,17
20200506,AL,340,27
20200507,AL,349,9
20200508,AL,375,26
20200509,AL,388,13
20200510,AL,393,5
20200511,AL,401,8
20200512,AL,429,28
20200513,AL,449,20
20200514,AL,467,18
20200515,AL,476,9
20200516,AL,485,9
20200517,AL,488,3
20200518,AL,489,1
20200519,AL,504,15
20200520,AL,517,13
20200521,AL,529,12
20200522,AL,537,8
20200523,AL,546,9
20200524,AL,551,5
20200525,AL,562,11
20200526,AL,575,13
20200527,AL,581,6
20200528,AL,590,9
20200529,AL,605,15
20200530,AL,618,13
20200531,AL,631,13
20200601,AL,646,15
20200602,AL,651,5
20200603,AL,653,2
20200604,AL,653,0
20200605,AL,676,23
20200606,AL,689,13
20200607,AL,692,3
20200608,AL,718,26
20200609,AL,729,11
20200610,AL,744,15
20200611,AL,755,11
20200612,AL,769,14
20200613,AL,773,4
20200614,AL,773,0
20200615,AL,774,1
20200616,AL,785,11
20200617,AL,790,5
20200618,AL,810,20
20200619,AL,822,12
20200620,AL,838,16
20200621,AL,839,1
20200622,AL,841,2
20200623,AL,864,23
20200624,AL,891,27
20200625,AL,896,5
20200626,AL,907,11
20200627,AL,919,12
20200628,AL,919,0
20200629,AL,929,10
20200630,AL,950,21
20200701,AL,972,22
20200702,AL,985,13
20200703,AL,1006,21
20200704,AL,1007,1
20200705,AL,1007,0
20200706,AL,1007,0
20200707,AL,1033,26
20200708,AL,1058,25
20200709,AL,1068,10
20200710,AL,1104,36
20200711,AL,1114,10
20200712,AL,1121,7
20200713,AL,1124,3
20200714,AL,1164,40
20200715,AL,1211,47
20200716,AL,1230,19
20200717,AL,1265,35
20200718,AL,1286,21
20200719,AL,1287,1
