0 "Midnight" 5641 0.012380
1 "1 AM" 3369 0.007394
2 "2 AM" 1060 0.002326
3 "3 AM" 1126 0.002471
4 "4 AM" 798 0.001751
5 "5 AM" 804 0.001764
6 "6 AM" 2713 0.005954
7 "7 AM" 8697 0.019087
8 "8 AM" 14191 0.031144
9 "9 AM" 20177 0.044281
10 "10 AM" 29931 0.065687
11 "11 AM" 45132 0.099048
12 "Noon" 70455 0.154622
13 "1 PM" 75347 0.165358
14 "2 PM" 40013 0.087813
15 "3 PM" 24039 0.052756
16 "4 PM" 32100 0.070447
17 "5 PM" 24467 0.053696
18 "6 PM" 21148 0.046412
19 "7 PM" 9727 0.021347
20 "8 PM" 4516 0.009911
21 "9 PM" 5410 0.011873
22 "10 PM" 7198 0.015797
23 "11 PM" 7601 0.016681
