0 "Midnight" 0 0.000000
1 "1 AM" 0 0.000000
2 "2 AM" 0 0.000000
3 "3 AM" 0 0.000000
4 "4 AM" 0 0.000000
5 "5 AM" 0 0.000000
6 "6 AM" 0 0.000000
7 "7 AM" 0 0.000000
8 "8 AM" 1000 0.043754
9 "9 AM" 3168 0.138613
10 "10 AM" 3378 0.147801
11 "11 AM" 2946 0.128900
12 "Noon" 4080 0.178517
13 "1 PM" 4380 0.191643
14 "2 PM" 1195 0.052286
15 "3 PM" 1079 0.047211
16 "4 PM" 933 0.040823
17 "5 PM" 298 0.013039
18 "6 PM" 289 0.012645
19 "7 PM" 77 0.003369
20 "8 PM" 6 0.000263
21 "9 PM" 0 0.000000
22 "10 PM" 11 0.000481
23 "11 PM" 15 0.000656
