0 "Midnight" 0 0.000000
1 "1 AM" 0 0.000000
2 "2 AM" 0 0.000000
3 "3 AM" 0 0.000000
4 "4 AM" 0 0.000000
5 "5 AM" 0 0.000000
6 "6 AM" 0 0.000000
7 "7 AM" 19 0.000936
8 "8 AM" 136 0.006699
9 "9 AM" 453 0.022314
10 "10 AM" 306 0.015073
11 "11 AM" 1113 0.054825
12 "Noon" 2599 0.128023
13 "1 PM" 1320 0.065021
14 "2 PM" 2402 0.118319
15 "3 PM" 1946 0.095857
16 "4 PM" 2551 0.125659
17 "5 PM" 2361 0.116300
18 "6 PM" 2221 0.109403
19 "7 PM" 1247 0.061426
20 "8 PM" 717 0.035318
21 "9 PM" 734 0.036156
22 "10 PM" 162 0.007980
23 "11 PM" 14 0.000690
