sep=,
Steam Sales data for Jason Rohrer: 2014-01-27 - 2014-02-27

Date, Bundle(ID#),Bundle Name,Product(ID#),Product Name,Type,Game,Platform,Country Code,Country,Region,Gross Units Sold,Chargeback/Returns,Net Units Sold,Base Price,Sale Price,Currency,Gross Steam Sales (USD),Chargeback/Returns (USD),VAT/Tax (USD),Net Steam Sales (USD),Tag
2014-01-27,-1,Direct Package Sale,8181,"Inside a Star Filled Sky",Steam,"Inside a Star-filled Sky ",Windows,DK,Denmark,Western Europe,1,0,1,7.99,7.99,EUR,0.00,0.0000,-1.4201,9.4899,""
2014-01-28,-1,Direct Package Sale,8181,"Inside a Star Filled Sky",Steam,"Inside a Star-filled Sky ",Windows,DK,Denmark,Western Europe,1,0,1,7.99,7.99,EUR,0.00,0.0000,-1.4201,9.4899,""
2014-01-29,-1,Direct Package Sale,8181,"Inside a Star Filled Sky",Steam,"Inside a Star-filled Sky ",Windows,DK,Denmark,Western Europe,1,0,1,7.99,7.99,EUR,10.9100,0.0000,-1.4201,9.4899,""
2014-01-29,-1,Direct Package Sale,8181,"Inside a Star Filled Sky",Steam,"Inside a Star-filled Sky ",Windows,US,United States,North America,1,0,1,7.99,7.99,USD,7.9900,0.0000,0.0000,7.9900,""
2014-01-29,-1,Direct Package Sale,36480,"The Castle Doctrine",Steam,"The Castle Doctrine",Windows,AR,Argentina,Latin America,2,0,2,15.99,11.99,USD,23.9800,0.0000,0.0000,23.9800,""
2014-01-29,-1,Direct Package Sale,36480,"The Castle Doctrine",Steam,"The Castle Doctrine",Windows,AT,Austria,Western Europe,7,0,7,14.99,11.24,EUR,107.4698,0.0000,-14.0551,93.4147,""
2014-01-29,-1,Direct Package Sale,36480,"The Castle Doctrine",Steam,"The Castle Doctrine",Windows,AU,Australia,Oceania,122,0,122,15.99,11.99,USD,1462.7800,0.0000,0.0000,1462.7800,""
2014-01-29,-1,Direct Package Sale,36480,"The Castle Doctrine",Steam,"The Castle Doctrine",Windows,BE,Belgium,Western Europe,15,0,15,14.99,11.24,EUR,230.2497,0.0000,-30.1125,200.1372,""
2014-01-29,-1,Direct Package Sale,36480,"The Castle Doctrine",Steam,"The Castle Doctrine",Windows,BR,Brazil,Latin America,22,0,22,26.99,20.24,BRL,182.9167,0.0000,0.0000,182.9167,""
2014-01-29,-1,Direct Package Sale,36480,"The Castle Doctrine",Steam,"The Castle Doctrine",Windows,CA,Canada,North America,217,0,217,15.99,11.99,USD,2601.8300,0.0000,0.0000,2601.8300,""
2014-01-29,-1,Direct Package Sale,36480,"The Castle Doctrine",Steam,"The Castle Doctrine",Windows,CH,Switzerland,Western Europe,5,0,5,14.99,11.24,EUR,76.7742,0.0000,0.0000,76.7742,""
