     1	2018-11-06 0
     2	2018-11-07 0
     3	2018-11-08 5838.95
     4	2018-11-09 11117.7
     5	2018-11-10 17652.7
     6	2018-11-11 21273.9
     7	2018-11-12 36713.2
     8	2018-11-13 29667.5
     9	2018-11-14 23287
    10	2018-11-15 24602.3
    11	2018-11-16 24780.3
    12	2018-11-17 19025.5
    13	2018-11-18 19246.6
    14	2018-11-19 13839.5
    15	2018-11-20 8707.76
    16	2018-11-21 8869.53
    17	2018-11-22 9969.51
    18	2018-11-23 9791.69
    19	2018-11-24 12424.5
    20	2018-11-25 13322.5
    21	2018-11-26 9197.4
    22	2018-11-27 6957.54
    23	2018-11-28 5101.02
    24	2018-11-29 5902.45
    25	2018-11-30 7552.71
    26	2018-12-01 6794.13
    27	2018-12-02 6963.49
    28	2018-12-03 4343.9
    29	2018-12-04 3172.27
    30	2018-12-05 2774.69
    31	2018-12-06 2319.99
