     1	2018-12-06 2319.99
     2	2018-12-07 2861.73
     3	2018-12-08 3061.31
     4	2018-12-09 2847.65
     5	2018-12-10 1999.75
     6	2018-12-11 2578.86
     7	2018-12-12 2086.14
     8	2018-12-13 2709.64
     9	2018-12-14 2569.74
    10	2018-12-15 3320.06
    11	2018-12-16 3582.93
    12	2018-12-17 2429.9
    13	2018-12-18 1887.94
    14	2018-12-19 2735.8
    15	2018-12-20 2854.84
    16	2018-12-21 3126.89
    17	2018-12-22 2846.12
    18	2018-12-23 2756.4
    19	2018-12-24 4203.41
    20	2018-12-25 8403.2
    21	2018-12-26 4331.74
    22	2018-12-27 3918.83
    23	2018-12-28 3499.91
    24	2018-12-29 3539.94
    25	2018-12-30 3877.03
    26	2018-12-31 3980.86
    27	2019-01-01 4264.87
    28	2019-01-02 3737.82
    29	2019-01-03 3410.19
    30	2019-01-04 3777.12
    31	2019-01-05 4802.77
    32	2019-01-06 5474.72
