     1	2014-01-27 0
     2	2014-01-28 0
     3	2014-01-29 30966.9
     4	2014-01-30 19763.4
     5	2014-01-31 9793.45
     6	2014-02-01 8220.04
     7	2014-02-02 5711.34
     8	2014-02-03 4115.37
     9	2014-02-04 4835.6
    10	2014-02-05 2933.12
    11	2014-02-06 2693.44
    12	2014-02-07 4155.3
    13	2014-02-08 3151.77
    14	2014-02-09 3417.34
    15	2014-02-10 1571.09
    16	2014-02-11 1613.21
    17	2014-02-12 1436
    18	2014-02-13 1580.81
    19	2014-02-14 1795.46
    20	2014-02-15 2151.66
    21	2014-02-16 1884.56
    22	2014-02-17 1112.92
    23	2014-02-18 684.65
    24	2014-02-19 997.367
    25	2014-02-20 737.347
    26	2014-02-21 782.637
    27	2014-02-22 1149.62
    28	2014-02-23 958.73
    29	2014-02-24 720.05
    30	2014-02-25 729.524
    31	2014-02-26 595.397
